dataset,split,Gaussian Process,XGBoost,FFNN,gp_rmse,xgb_rmse,ffnn_rmse
Carbonic,RND_06,0.8405129226164262,0.8020286042264728,0.8076298586968189,0.5611588806593668,0.6252076925973056,0.6162996519236648
Carbonic,RND_07,0.8552908923448412,0.8291417289730129,0.829018109379019,0.5021155963876122,0.5455992721219483,0.5457966127736988
Carbonic,RND_08,0.7678442179212625,0.7448676613203808,0.7349282461544389,0.6120065734254281,0.6415774476858088,0.6539552945900446
Carbonic,RND_09,0.8163877168418037,0.730849831447883,0.8171192881075926,0.597653173211703,0.7235952250171592,0.5964613622300466
Carbonic,SCAF_00,0.652470551389144,0.5625655325197414,0.5516541147134042,0.6765039439082676,0.7589812151659658,0.7683889687067231
Carbonic,SCAF_01,0.6171440477694756,0.6363338405104093,0.5709895248143055,0.6022588225081349,0.5869713637727398,0.6375282255912911
Carbonic,SCAF_02,0.6832698598514317,0.6464040499204224,0.6384019957972098,0.7259004016720066,0.766983429689227,0.7756134875175197
Carbonic,SCAF_03,0.5273465428257527,0.3580487146926199,0.30553075596431256,0.8102415262616304,0.9442654831488732,0.9821313786580704
Carbonic,SCAF_04,0.5942374252966611,0.5968479226243113,0.37071027289525227,0.8753448348557193,0.8725245001662646,1.090105424370711
Carbonic,SCAF_05,0.5581181942205439,0.49002258501569096,0.5400194245286458,0.5664761353193499,0.6085608783147696,0.5779606948880597
Carbonic,SCAF_06,0.7383314700253462,0.679889874985177,0.7737866677543879,0.7537408776088051,0.8336735583751438,0.7008182782775956
Carbonic,SCAF_07,0.7848370198311739,0.8308335440584333,0.8122746044769404,0.7405491395021322,0.6566398440240548,0.691722050450114
Carbonic,SCAF_08,0.7437582928887809,0.7856677739215616,0.7827935865867582,0.7301165507738056,0.6677455788698029,0.6722078907588447
Carbonic,SCAF_09,0.5673516550828832,0.47652843455825367,0.2942051441028739,0.8145803065389691,0.8960101533699153,1.0404126579720139
Caspase,RND_00,0.817809987904751,0.8162829112142858,0.8145852735791138,0.5317137360620546,0.5339374400476604,0.5363986916014439
Caspase,RND_01,0.7181549203988224,0.6858970552379549,0.6924948579295328,0.6160022340174104,0.6502989645536332,0.6434328795992186
Caspase,RND_02,0.7898668140236996,0.7732239322734825,0.7936597063614269,0.5480879702705528,0.5693791472456785,0.5431189668932754
Caspase,RND_03,0.7618936808296046,0.7212347373500925,0.7570629551740751,0.6117182815486732,0.6618892482924658,0.6178924252883393
Caspase,RND_04,0.7842347794758446,0.7804549721915823,0.7554873300261199,0.5499015399608147,0.5546972566861573,0.5853894606615371
Caspase,RND_05,0.8302718458043803,0.8042208687186774,0.8022219773485297,0.5020234943275671,0.5391756824479682,0.541921165632683
Caspase,RND_06,0.7424448457820959,0.7207536770267471,0.6864283216833524,0.582388393950159,0.6064169342049485,0.6426078168479051
Caspase,RND_07,0.7903875678043659,0.7709100835143193,0.7651884702411011,0.5367704792518104,0.5611553286440478,0.5681196531983954
Caspase,RND_08,0.8195271177115674,0.7924931777055169,0.8136064566723189,0.5251124799807843,0.5630702121594463,0.5336564894174866
Caspase,RND_09,0.8311639418374228,0.8374472878986015,0.8322577492359057,0.4968556715504709,0.48752260727752306,0.49524361222727986
Caspase,SCAF_00,0.6889205725691938,0.6830343385498348,0.6460394683658629,0.6346499046000971,0.6406261779969916,0.6769802407993787
Caspase,SCAF_01,0.6352373594865661,0.5695507307167949,0.5664872670004727,0.7443815304835806,0.8086328886154437,0.8115052661274507
Caspase,SCAF_02,0.676982562230507,0.6044725021662487,0.6036007448596731,0.6360055063813072,0.703778884690345,0.7045540352205825
Caspase,SCAF_03,0.612323923633334,0.5310945935685948,0.5764742569515868,0.7977905917211705,0.8773987872712151,0.8338622558346372
Caspase,SCAF_04,0.7524886101471571,0.7543467807271528,0.7470281032697716,0.5899762549193436,0.5877574846420349,0.5964486731410964
Caspase,SCAF_05,0.6604316629766498,0.5655501401072562,0.5652091425683359,0.733589683530572,0.8297732921068655,0.8300988707026076
Caspase,SCAF_06,0.6244347006480068,0.5716294658779425,0.5099628072300393,0.7264913852605265,0.7758853191428499,0.8298550882520843
Caspase,SCAF_07,0.6620991785845595,0.5997698042181562,0.6555979575156357,0.6541763682465153,0.7119592769669929,0.6604395713566182
Caspase,SCAF_08,0.748650156383065,0.7260008755975667,0.6950973092488145,0.613657688782733,0.6407099343307625,0.6758767372453266
Caspase,SCAF_09,0.6769604534514717,0.6563996832139458,0.681794467063569,0.6702754550883334,0.691277223800289,0.6652414992221132
Coagulation,RND_00,0.6169628535709792,0.509756007061529,0.5117174591378544,0.7857598310187823,0.8889462806180661,0.887166174079734
Coagulation,RND_01,0.5072677055614664,0.4097070285902432,0.4525794466146372,0.8788187715135698,0.9618948890305087,0.926305751772282
Coagulation,RND_02,0.5172350292533727,0.4416917142676643,0.44861273740596197,0.9203506987108953,0.9897431570601545,0.9835893912531699
Coagulation,RND_03,0.5106254256431079,0.4490341245757591,0.47877401753861704,0.9201714329731625,0.9763609383793009,0.9496445360575473
Coagulation,RND_04,0.5857909439395526,0.5692295498620172,0.6216965108678159,0.8368009811531436,0.8533660043604905,0.7997100599050685
Coagulation,RND_05,0.5508328554791203,0.4088947685713008,0.47562983221244515,0.8171921055087008,0.9374596271553163,0.8829561988854582
Coagulation,RND_06,0.5325320061102095,0.43216076740382836,0.44693862802321027,0.8514807597130171,0.9384509878659532,0.9261590218366184
Coagulation,RND_07,0.5363077580030249,0.4802977201890811,0.4668407446389016,0.8775218092367437,0.9290098420072713,0.9409606896194918
Coagulation,RND_08,0.6037526843965719,0.514859706259295,0.5112300431524798,0.780845243289169,0.864003448529719,0.8672295231413303
Coagulation,RND_09,0.6308863115643537,0.5938935188921508,0.6004480729873923,0.7967122470347111,0.8356826349835107,0.8289112470828662
Coagulation,SCAF_00,0.4371396482572606,0.31491868040919857,0.29443613274475,0.9616123807547385,1.06089103673172,1.0766334860218303
Coagulation,SCAF_01,0.4871457200970244,0.38958884785501713,0.4016817690564405,0.9436965464586315,1.029548009758308,1.0192987501681483
Coagulation,SCAF_02,0.45320989805504963,0.42499166037327574,0.32438863002266893,0.9533193481525312,0.9776089231774135,1.0596844466404036
Coagulation,SCAF_03,0.4392228360754852,0.4161100276419136,0.3547797072547053,0.9161261967532028,0.9348149527256234,0.9826846020285529
Coagulation,SCAF_04,0.422147855104852,0.19292409102691455,0.34421681212383204,0.9478459832236016,1.1201768705696995,1.0097399712515165
Coagulation,SCAF_05,0.5815433255345053,0.5061485381530758,0.5207008510405753,0.8594330146462644,0.9336518348007652,0.9197930254670806
Coagulation,SCAF_06,0.4473658660917582,0.369048757480851,0.37109668380447713,0.949181295387394,1.0142107707809709,1.0125634825846146
Coagulation,SCAF_07,0.4463331858116546,0.34199383908719294,0.42497334572209966,0.9380736208593085,1.0226514931205266,0.9559972980907607
Coagulation,SCAF_08,0.5248333176417321,0.36374725496374005,0.4947756726278034,0.8695706517707962,1.0062287403398469,0.8966521833504475
Coagulation,SCAF_09,0.3642957260421029,0.30610900991539935,0.2399303305535968,0.9778085409219203,1.0215788309608442,1.0691852577615262
Dihydrofolate,RND_00,0.44189676773817743,0.3836918411359901,0.470947531875209,0.8254467489008539,0.8674226357023266,0.8036763064519178
